ノマゲ帯,ハード帯,ver,曲名,BPM,ノーツ数,譜面傾向,属性,CR基準
未定,未定,32,ADAMANT,200,1539,CN・BSS・二重階段,CHARGE,未定
未定,未定,30,Ambush Ace,158,1492,CN・乱打・ラス殺し,NOTES,地力E
未定,未定,32,Bang-Boo Bumble,165,1479,CN・皿絡み,CHORD,未定
未定,未定,30,Caldwell 99,142,1293,CN・BSS・連皿・皿同時,NOTES,地力E
未定,未定,32,CHAOTIC SUNBIRD,163,1662,CN・同時連打,NOTES,未定
未定,未定,31,CODE:2,155,1491,微縦連,NOTES,未定
未定,未定,32,ELYSIUM,183,1377,CN・連皿・軸・二重トリル,NOTES,未定
未定,未定,28,Explorer feat. ぷにぷに電機(L),131,1461,乱打・皿,NOTES,未定
未定,未定,32,Fiery Stallion,185,1424,HCN・HBSS・階段,CHARGE,未定
未定,未定,31,GLORIOUS HAMMER,155-160(155),1587,CN・螺旋階段・二重階段,NOTES,未定
未定,未定,10,HIGH(L),180,1443,同時押し・皿絡み,CHORD,未定
未定,未定,31,i-ii,155,1499,CN・BSS・階段・二重トリル,NOTES,未定
未定,未定,26,IDOL syndrome.(L),145,1533,CN・同時押し・階段,CHORD,未定
未定,未定,31,INHERITANCE,180,1432,CN・乱打,NOTES,未定
未定,未定,31,Just Gimme,178,1393,中盤難・軸・皿絡み,PEAK,未定
未定,未定,9,Logic Board,130,1173,同時,CHORD,未定
未定,未定,32,lowercase lifetime,205,1407,CN・BSS・皿同時・要体力,CHORD,未定
未定,未定,31,Monkey Business,80-160(160),1324,ソフラン・CN・BSS,SOF-LAN,未定
未定,未定,32,MVP,100,1318,BSS・皿絡み,CHORD,未定
未定,未定,31,out of disk space,165-190(165),1305,CN・軸・皿絡み,NOTES,未定
未定,未定,31,PILGRIM,150,1381,BSS・高速トリル,NOTES,未定
未定,未定,32,Raspberry Potion(feat.あれたん & ぎゃるのしん☆),177,1267,BSS・トリル・高速階段・連皿,CHORD,未定
未定,未定,32,RAVE SYNDROME,165,1402,BSS・軸・同時押し・連皿,NOTES,未定
未定,未定,31,Red Determination,180,1355,CN・MSS・連皿,SCRATCH,未定
未定,未定,12,Scripted Connection⇒ N mix(L),151,1247,縦連・同時・階段・トリル・皿絡み,PEAK,未定
未定,未定,31,See You Again,175,1584,皿複合,NOTES,未定
未定,未定,32,Show Me All Your Love,165,1482,トリル・階段,NOTES,未定
未定,未定,16,smooooch・∀・(L),177,1436,高難度・同時・連皿,CHORD,未定
未定,未定,32,Space in Time,165-174(165),1047,CN・BSS・皿絡み・トリル,CHARGE,未定
未定,未定,31,squall,190,1369,ズレ,PEAK,未定
未定,未定,25,STARLIGHT JUNCTION(L),160,1462,二重階段・皿絡み,CHORD,未定
未定,未定,30,Stylus,165,1440,二重階段・軸,NOTES,地力D
未定,未定,31,Submerge Serenade,157,1486,トリル・皿絡み・対称配置,NOTES,未定
未定,未定,31,T.R.O.L.L.,100-160(160),1329,ソフラン・連皿,SOF-LAN,未定
未定,未定,31,This Is Club Musik feat. 大久保紅葉,165,1343,連皿・連打,NOTES,未定
未定,未定,31,Time Distortion pt.2(IIDX Edit),150,1492,乱打・微縦連,NOTES,未定
未定,未定,31,winkle 2 winkle,171,1408,軸・皿絡み,NOTES,未定
未定,未定,7,ZERO-ONE(L),160,1448,高密度・ラス殺し,NOTES,未定
未定,未定,31,アイドル(L),166,1600,乱打,CHORD,未定
未定,未定,32,えだまめカレークッキング,150,1119,CN・BSS・ハネリズム,NOTES,未定
未定,未定,29,オドループ(L),172,1500,同時押し・トリル,CHORD,未定
未定,未定,32,断罪の一花,185,1296,CN・BSS・同時押し・終盤難,PEAK,未定
未定,未定,30,チェイスチェイスジョーカーズのうた (オニスタイルリミックス),200,1427,軸・皿絡み,CHORD,地力D
未定,未定,31,寝起きヤシの木,160,1411,二重トリル・同時押し・皿絡み,CHORD,未定
未定,未定,32,ハオ,130-176(176),1459,ソフラン・二重階段・同時押し,CHORD,未定
未定,未定,32,爆ぜりゃんせ,172,1521,CN・BSS・連打・階段・同時押し,NOTES,未定
未定,未定,31,果たせぬ約束 ft. 小林マナ,164,1515,同時押し・局所難,CHORD,未定
未定,未定,32,ファイナルレター,205,1371,CN・BSS・階段・ズレ,NOTES,未定
未定,未定,31,マーシャル・マキシマイザー,190,1082,逆詐称,NOTES,未定
未定,未定,32,無双,180,1677,同時押し,CHORD,未定
未定,未定,31,めうめうぺったんたん！！ (ZAQUVA Remix),200,1419,同時押し・連打,CHORD,未定
未定,未定,30,惑星☆ロリポップ,180,1425,皿同時・ラス殺し,NOTES,地力B
地力S+,地力S+,26,花冠 feat.Aikapin,83-180(83),1365,ソフラン・連皿・ラス殺し,SCRATCH,地力S
個人差S+,個人差S+,22,ベィスドロップ・フリークス(L),179,1275,BSS・MSS・連皿・詐称,SCRATCH,地力S
地力S,地力A,20,ALBA -黎明-,165,1631,CN・高密度・皿絡み,CHORD,地力B
地力S,地力A,16,B4U(BEMANI FOR YOU MIX),170,1810,物量・同時・皿複合・要体力,NOTES,地力A
地力S,地力S,16,Bahram Attack-猫叉Master Remix-(L),155,1640,詐称曲・高密度・皿絡み,CHORD,地力A
地力S,地力A,11,BLOCKS,141,1000,縦連・トリル・ラス殺し,PEAK,地力B
地力S,個人差S,17,D,30-240(120),1313,CN・ソフラン・縦連,SOF-LAN,地力A
地力S,未定,31,Echoes of Sunfall,158,1518,CN・BSS・皿絡み・後半難,NOTES,未定
地力S,地力A,20,examination leave,180,1712,高密度,CHORD,地力B
地力S,地力S,15,four pieces of heaven,125-195(195),1225,階段・皿絡み・高密度・ソフラン・HARD地雷,SOF-LAN,地力A
地力S,地力A,29,kors k's How to make OTOGE CORE,124-190(124),1180,ソフラン・ラス殺し,PEAK,地力A
地力S,地力A,24,Macuilxochitl,148,1677,乱打,NOTES,地力A
地力S,未定,31,Mukade,160,1645,CN・高密度・二重トリル,NOTES,未定
地力S,個人差S+,16,naughty girl@Queen's Palace(L),145,1380,連皿・皿絡み,SCRATCH,地力A
地力S,地力S,26,Necroxis Girl,150,1441,皿複合・縦連打・CN・終盤難,NOTES,地力A
地力S,地力A,18,perditus†paradisus(H),172,1345,高難度・CN・ラス殺し・詐称曲,PEAK,地力S
地力S,個人差S,18,SABER WING,37-444(222),1438,同時・ソフラン,SOF-LAN,地力A
地力S,地力A,14,Sense 2007(H),140,1179,トリル・皿複合・局所難・ラス殺し・詐称曲,PEAK,地力S
地力S,地力S+,16,V2,150,1810,デニム・中盤発狂・HARD地雷・詐称曲,CHORD,地力A
地力S,地力S,15,Wanna Party?(L),128,1300,乱打・高密度,CHORD,地力B
地力S,地力A,28,乱膳の舞姫,171,1382,CN,CHARGE,地力B
地力S,地力A,27,錬成人間トリコロイダー,190,1613,軸,CHORD,地力A
個人差S,個人差S,30,VOLCANIC BIGBEAT,148,1444,連皿・ラス殺し,SCRATCH,地力A
