ノマゲ帯,ハード帯,ver,曲名,BPM,ノーツ数,譜面傾向,属性,適正CPI_EC,適正CPI_CL
未定,未定,30,CUE CUE RESCUE(L),160,1549,同時押し,NOTES,,
未定,未定,21,HYENA(L),178,1894,CN・MSS・BSS・連皿・トリル,NOTES,,
未定,未定,32,Mid-Corner (Magic Maker),165,1611,CN・BSS・連皿,NOTES,,
未定,未定,25,Nothing but Theory(L),160,1890,同時押し・二重階段・BSS,NOTES,,
未定,未定,19,蛇神(L),170,1904,HCN・二重トリル・階段,CHARGE,,
未定,未定,28,新宝島(L),165,1790,CN・乱打,CHARGE,,
未定,未定,32,天使のカンタータ -Cantata of Angels-,158,2205,CN・坂譜面・物量,PEAK,,
未定,未定,31,フォニイ(L),170,1975,同時押し,CHORD,,
未定,未定,29,烽火連天の刃(L),190,2279,CN・BSS・軸・連打・物量,CHARGE,,
地力S+,地力S+,30,Beyond Evolution,185,2216,HCN・連皿トリル・縦連,PEAK,1794.87,1914.09
地力S+,地力S+,25,DEATH†ZIGOQ ～怒りの高速爆走野郎～(L),200,2459,HCN・皿複合・トリル・物量,NOTES,,
地力S+,地力S+,24,GuNGNiR(L),222,2443,物量・連皿,NOTES,1879.35,1969.96
地力S+,地力S+,20,Illegal Function Call(L),260,2023,高密度・縦連,PEAK,1854.14,1937.03
地力S+,地力S+,14,KAMAITACHI(L),165,2000,連皿・トリル,PEAK,1806.31,1867.12
地力S+,地力S+,24,Mare Nectaris,256,2094,高密度・縦連・坂譜面・ラス殺し,PEAK,1923.66,1987.66
地力S+,地力S+,29,n/a,85-255(170),1867,BSS・MSS・ソフラン,SOF-LAN,1840.03,1913.10
地力S+,地力S+,21,Sigmund(L),200,2267,CN・二重階段・連皿・ラス殺し,NOTES,1780.48,1820.00
地力S+,地力S+,30,Somnidiscotheque,115,1776,CN・高密度,CHARGE,1908.60,1981.40
地力S+,地力S+,19,The Limbo(L),200,2190,物量・デニム,PEAK,1899.28,1935.81
地力S+,地力S+,21,Verflucht(L),180,2401,CN・BSS・超高密度乱打・二重階段・皿,NOTES,1791.69,1858.79
地力S+,地力S+,21,疾風迅雷(L),180,1824,CN・皿・終盤発狂,PEAK,1834.18,1902.87
